source,target,weight
361aa05c0bd2f25be0,f157840dc93ccd11c2,6
f458d6ac0143657932,bf07e0773afaa218d6,7
bf07e0773afaa218d6,f458d6ac0143657932,7
102f67573b361b64ea,b78781df3ef5d4d6a4,12
b78781df3ef5d4d6a4,102f67573b361b64ea,8
43e40bd179c51e5638,9d9a3ddad86ae1d0aa,8
9d9a3ddad86ae1d0aa,43e40bd179c51e5638,8
f288b3a6f813c2cec9,56066dfa7fdbc8e17d,6
f288b3a6f813c2cec9,0c20cb9c893efc39f0,8
0c20cb9c893efc39f0,f288b3a6f813c2cec9,8
17518c8d38f27c54d7,6db0792a96cd960e71,6
6db0792a96cd960e71,17518c8d38f27c54d7,6
ea925de97b01a5d2b3,c30faf474dea4c00f2,6
c30faf474dea4c00f2,ea925de97b01a5d2b3,6
aba2c543c4653065e2,6a8037ef5120c59d3e,6
6a8037ef5120c59d3e,aba2c543c4653065e2,6
a3ccbd09a7e35d1d00,cdc406d614d483e15d,6
cdc406d614d483e15d,a3ccbd09a7e35d1d00,6
5805168efb701953ea,a66feb1c8755bb4f50,9
ce4cef26d2f7e6b4a4,5805168efb701953ea,6
a66feb1c8755bb4f50,5805168efb701953ea,8
92e3bfdb0dffbdbc1f,611895ecdd5a139ad6,6
611895ecdd5a139ad6,92e3bfdb0dffbdbc1f,6
31fdb1d56929146d42,10c2f2bc83d6adfb9e,6
15e863e224b6a23092,ba2f6e4d0f878b599b,6
15e863e224b6a23092,42bad9ddc6b2d9c816,7
01242ff53138f3d510,027b79554469d8b5ea,6
027b79554469d8b5ea,01242ff53138f3d510,6
42bad9ddc6b2d9c816,84bdbbc7d421310fc0,6
42bad9ddc6b2d9c816,15e863e224b6a23092,7
84bdbbc7d421310fc0,74c42dc1fa15ae2bec,8
74c42dc1fa15ae2bec,84bdbbc7d421310fc0,7
3e233da1a5c290bf94,74c42dc1fa15ae2bec,9
74c42dc1fa15ae2bec,3e233da1a5c290bf94,6
080e48f900bd65ddb9,3e233da1a5c290bf94,6
080e48f900bd65ddb9,3183344d09c5a509b1,6
080e48f900bd65ddb9,74c42dc1fa15ae2bec,6
080e48f900bd65ddb9,84bdbbc7d421310fc0,6
6bc69f1aa2873c2054,1286235e4929339e8a,6
1286235e4929339e8a,2009fc62a2777356f4,6
309bc6e5050e14f055,c8a787d3e183be0906,6
e8ce46e33df8c8db96,f2674aab6fa7e2fd35,6
f2674aab6fa7e2fd35,e8ce46e33df8c8db96,6
9416bb969e6c596913,5152f7649ceaebc566,6
1ff1233c0db2a559ac,5596b31d57784cb5ba,7
5596b31d57784cb5ba,95b4bd8924cfb47fec,8
5596b31d57784cb5ba,1ff1233c0db2a559ac,8
95b4bd8924cfb47fec,5596b31d57784cb5ba,7
95b4bd8924cfb47fec,1ff1233c0db2a559ac,15
1ff1233c0db2a559ac,95b4bd8924cfb47fec,11
d8b5466b90bc25958d,7adc85aa2972974a99,6
60ee05855b1c467534,32974207f653c61885,6
361051dfc66f7039b8,a808e4f215ba15a2fd,6
d395da7de490012743,5313a80fe78ff78437,6
6b0b6a04e991cd1f95,fee2a3b11c3c561106,8
2f95af9bb2d094055a,5ef0010af05503df9e,9
5ef0010af05503df9e,2f95af9bb2d094055a,6
